epoch,train_loss,val_loss,val_acc,val_recall,val_precision,val_f1
0,0.9652284734404719,0.90945519916648,0.5901926444833625,0.6085802292205312,0.6156392703918234,0.6103654993504132
1,0.7640801903400513,0.7480943552666913,0.6077057793345009,0.6216837035446255,0.6501143672680171,0.6339802231220225
2,0.63121016658402,0.7143908744309286,0.6217162872154116,0.6399884248612384,0.6746884389775274,0.6541707302389982
3,0.5241784132915894,0.686541350209358,0.649737302977233,0.6716154454167386,0.7088805515912174,0.6816486241137275
4,0.4111693615172967,0.6927626426290923,0.6619964973730298,0.6846098511675353,0.7051427592854992,0.6923935713409398
5,0.3053662420702879,0.7379999341355105,0.681260945709282,0.6987191291662489,0.7240052485552342,0.7092940850845096
6,0.20774490628073314,0.7834397453142757,0.6777583187390543,0.6991628542815777,0.7136659522108438,0.7046100542194993
7,0.16001200743845248,0.8051777959078706,0.6637478108581436,0.6891704993982315,0.7072504844961239,0.6967087499677027
8,0.11888997884001379,0.8516212162119703,0.6742556917688266,0.688089213163952,0.7183834549290585,0.7006712364280426
9,0.0953341887899125,0.9491104687157946,0.6760070052539404,0.7010371945614272,0.705673791893696,0.7006996409801481
10,0.08008477233098987,0.8951057754130789,0.6987740805604203,0.71645518081168,0.7292820563132265,0.7211407249616162
11,0.07532181034041663,0.9362556152502417,0.6935201401050788,0.7153433462066344,0.7208406192216628,0.716876908267951
12,0.06330108962238383,0.9381946441171048,0.6952714535901926,0.7150715058266289,0.720988385898333,0.7174793022894755
13,0.06500871568278581,0.9621656830381804,0.6882661996497373,0.7078714898245555,0.7179668720772693,0.7107237187436609
14,0.05963966453572767,0.9027877516796626,0.7005253940455342,0.7209408623088641,0.723106131884026,0.7218286237838719
15,0.040472543513238354,0.9378281555117325,0.7040280210157618,0.723852070460247,0.7261947286151988,0.7247387250132616
16,0.04452723794279394,0.9526754563410103,0.6987740805604203,0.7180077028891824,0.7275382252156445,0.7219099083793723
17,0.037872803313849374,0.9789785515197313,0.691768826619965,0.7138127753974312,0.7183861999564204,0.7154818964622885
18,0.031466963153905216,0.980576009236785,0.691768826619965,0.7155402198531281,0.7178651340953589,0.7154015619455246
19,0.03756070689739194,0.9990016234526492,0.6900175131348512,0.7090272269661989,0.7158650871182898,0.7122147090046318
